L1,L2,Count of apps
Banking Services,Corporate Banking,1
Business Operations,Facilities & Asset Management,2
Business Operations,Internal Communication & Employee Engagement,2
Business Operations,Operations Management,2
Business Operations,Project Management,1
Client Services & Support,"Financial Advisory, Analysis & Planning",3
Client Services & Support,Insurance,2
Client Services & Support,Investment Services,2
Digital Security,Data Security & Privacy,1
Digital Security,Identity & Network Security,3
Digital Security,Threat Intelligence & Incident Response,2
Finance (Internal),Accounts Management,1
Finance (Internal),Internal Financial Reporting,1
Finance (Internal),Payment Processing,2
HR,"Performance, Training, Workforce & Change Management",2
IT,Business Intelligence,1
IT,Cloud Services & SaaS Management,1
IT,End User Computing,1
IT,Software Development & Management,2
Legal Management,Contract Management,1
Legal Management,Legal Research or Case Management,1
Legal Management,Monitoring & Surveillance,2
Sales & Marketing/Commercial,Customer Engagement & Digital Experience,1
Sales & Marketing/Commercial,Digital Marketing & Communication,2
Sales & Marketing/Commercial,Sales Operations,1
